[13:46:14] [main/INFO] (FabricLoader) Loading for game Minecraft 1.16.4
[13:46:14] [main/DEBUG] (FabricLoader) Requesting deobfuscation of minecraft-1.16.4-mapped-net.fabricmc.yarn-1.16.4+build.7-v2.jar
[13:46:14] [main/DEBUG] (FabricLoader) [Knot] Proposed file:/C:/Users/SirLennox/.gradle/caches/fabric-loom/1.16.4-mapped-net.fabricmc.yarn-1.16.4+build.7-v2/minecraft-1.16.4-mapped-net.fabricmc.yarn-1.16.4+build.7-v2.jar to classpath.
[13:46:14] [main/DEBUG] (FabricLoader|EntrypointTransformer) Found game constructor: net.minecraft.client.main.Main -> net.minecraft.client.MinecraftClient
[13:46:14] [main/DEBUG] (FabricLoader|EntrypointTransformer) Patching game constructor <init>(Lnet/minecraft/client/RunArgs;)V
[13:46:14] [main/DEBUG] (FabricLoader|EntrypointTransformer) Run directory field is thought to be net/minecraft/client/MinecraftClient/runDirectory
[13:46:14] [main/DEBUG] (FabricLoader|EntrypointTransformer) Applying brand name hook to net/minecraft/client/ClientBrandRetriever::getClientModName
[13:46:14] [main/DEBUG] (FabricLoader|EntrypointTransformer) Applying brand name hook to net/minecraft/server/MinecraftServer::getServerModName
[13:46:14] [main/DEBUG] (FabricLoader|EntrypointTransformer) [EntrypointTransformer] Patched 3 classes.
[13:46:14] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Adding dev classpath directories to classpath.
[13:46:14] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-renderer-indigo-0.4.3+a4467d2a3a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[13:46:14] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-api-base-0.2.0+9f0fb4b83a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[13:46:14] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-commands-v0-0.2.0+52d308363a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[13:46:14] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-crash-report-info-v1-0.1.2+b7f9825d3a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
