[15:12:28] [main/INFO] (FabricLoader) Loading for game Minecraft 1.16.4
[15:12:28] [main/DEBUG] (FabricLoader) Requesting deobfuscation of minecraft-1.16.4-mapped-net.fabricmc.yarn-1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (FabricLoader) [Knot] Proposed file:/C:/Users/SirLennox/.gradle/caches/fabric-loom/1.16.4-mapped-net.fabricmc.yarn-1.16.4+build.7-v2/minecraft-1.16.4-mapped-net.fabricmc.yarn-1.16.4+build.7-v2.jar to classpath.
[15:12:28] [main/DEBUG] (FabricLoader|EntrypointTransformer) Found game constructor: net.minecraft.client.main.Main -> net.minecraft.client.MinecraftClient
[15:12:28] [main/DEBUG] (FabricLoader|EntrypointTransformer) Patching game constructor <init>(Lnet/minecraft/client/RunArgs;)V
[15:12:28] [main/DEBUG] (FabricLoader|EntrypointTransformer) Run directory field is thought to be net/minecraft/client/MinecraftClient/runDirectory
[15:12:28] [main/DEBUG] (FabricLoader|EntrypointTransformer) Applying brand name hook to net/minecraft/client/ClientBrandRetriever::getClientModName
[15:12:28] [main/DEBUG] (FabricLoader|EntrypointTransformer) Applying brand name hook to net/minecraft/server/MinecraftServer::getServerModName
[15:12:28] [main/DEBUG] (FabricLoader|EntrypointTransformer) [EntrypointTransformer] Patched 3 classes.
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Adding dev classpath directories to classpath.
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-renderer-indigo-0.4.3+a4467d2a3a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-api-base-0.2.0+9f0fb4b83a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-commands-v0-0.2.0+52d308363a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [ForkJoinPool-1-worker-1/DEBUG] (Fabric|Loader) Testing file:/C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-renderer-indigo-0.4.3+a4467d2a3a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-crash-report-info-v1-0.1.2+b7f9825d3a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-game-rule-api-v1-1.0.3+a4467d2a3a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-textures-v0-1.0.5+a4467d2a3a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-containers-v0-0.1.8+045df74f3a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-lifecycle-events-v1-1.2.0+74cc3b203a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
[15:12:28] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /C:/Users/SirLennox/Desktop/projects/java/Herobrinia/.gradle/loom-cache/remapped_mods/fabric-models-v0-0.1.1+f8ac1db23a@net.fabricmc.yarn.1_16_4.1.16.4+build.7-v2.jar
